站点编号,站点名称,经度,纬度,总桩位数,当前库存量,需求承接比例,承接来源站点,最近来源站距离说明
N101,宁大教学生活扩展站,121.64637,29.899073,30,15,0.22,"S002,S003,S004",S002(1.00km); S003(1.93km); S004(1.28km)
N102,诺大教学宿舍扩展站,121.564386,29.799147,30,15,0.22,"S005,S006,S007,S008",S005(0.13km); S006(0.13km); S007(0.16km); S008(0.15km)
N103,天一广场商务接驳站,121.55515,29.864367,35,18,0.18,"S012,S017,S018,S025",S012(0.59km); S017(1.78km); S018(2.09km); S025(3.75km)
N104,高新区研发走廊站,121.640853,29.879415,30,15,0.18,"S013,S014,S015,S016",S013(2.97km); S014(0.18km); S015(2.40km); S016(1.28km)
N105,镇海象山路接驳站,121.693689,29.945833,25,12,0.15,"S020,S030",S020(1.40km); S030(1.45km)
